Parana 2 1 ABC
Goias 1 0 AmericaRN
AtleticoPR 3 0 Corinthians
Vasco 1 0 Alecrim
Fluminense 1 1 Palmeiras
Corinthians 2 1 Avai
Internacional 1 3 VilaNova
Nautico 1 1 Botafogo
Chapecoense 1 2 AtleticoMG
Vasco 1 4 Juventude
Criciuma 1 0 AtleticoMG
Corinthians 0 0 Parana
PontePreta 1 3 VilaNova
Fluminense 2 1 Flamengo
Chapecoense 2 1 VilaNova
Criciuma 2 0 Cruzeiro
Internacional 3 0 Alecrim
AtleticoPR 1 0 ABC
AtleticoGO 2 0 Alecrim
Botafogo 2 0 Palmeiras
Coritiba 2 2 AtleticoGO
Fluminense 1 1 Vitoria
Alecrim 1 1 SantaCruz
Palmeiras 1 1 AmericaRN
AmericaRN 3 0 ABC
AtleticoMG 2 0 VilaNova
Chapecoense 1 0 Coritiba
Botafogo 2 0 ABC
VilaNova 0 3 SaoPaulo
AtleticoPR 0 1 Vasco
AtleticoPR 1 0 VilaNova
Santos 1 0 Cruzeiro
AtleticoPR 2 0 ABC
VilaNova 2 0 ABC
Gremio 2 2 Fluminense
AtleticoMG 2 0 Fluminense
Internacional 1 0 Goias
Bahia 2 0 Corinthians
Palmeiras 1 0 Gremio
PontePreta 3 0 Vasco
Internacional 1 0 AtleticoMG
SaoPaulo 4 2 AmericaRN
Coritiba 2 1 AtleticoGO
Fluminense 3 0 Juventude
Santos 1 1 Fluminense
AmericaRN 1 2 Corinthians
Corinthians 2 2 Alecrim
Corinthians 2 3 Nautico
Sport 1 1 PontePreta
AtleticoMG 2 1 Avai
Nautico 2 0 Internacional
Internacional 0 0 Flamengo
Guarani 1 1 Nautico
Criciuma 1 1 Sport
Nautico 2 0 Palmeiras
Juventude 2 1 Chapecoense
Goias 2 0 AmericaRN
Juventude 1 0 AtleticoPR
Vasco 2 2 Sport
Fluminense 3 2 SantaCruz
Bahia 3 0 Alecrim
Parana 1 3 Vitoria
Goias 2 1 Chapecoense
Criciuma 1 0 Juventude
Fluminense 1 0 Avai
ABC 1 0 Fluminense
Corinthians 1 1 Internacional
Palmeiras 2 0 Alecrim
Bahia 1 1 PontePreta
Vasco 3 0 AmericaRN
AmericaRN 1 0 Nautico
Vitoria 1 2 Avai
Sport 1 0 AmericaRN
ABC 2 0 Sport
Coritiba 0 0 Goias
Botafogo 2 1 VilaNova
AtleticoGO 2 1 Juventude
Fluminense 1 0 Bahia
Bahia 1 0 SaoPaulo
Juventude 1 0 Guarani
PontePreta 2 1 Chapecoense
Vitoria 2 1 Fluminense
Guarani 0 1 Santos
Botafogo 1 0 Corinthians
Santos 2 4 Alecrim
Avai 2 0 VilaNova
Botafogo 1 1 Bahia
Chapecoense 1 0 SaoPaulo
Sport 2 0 Santos
Flamengo 2 0 Chapecoense
Botafogo 2 2 Juventude
Gremio 2 3 Juventude
Flamengo 2 2 Internacional
Internacional 2 0 AtleticoPR
Juventude 1 5 AmericaRN
Criciuma 0 0 Goias
AtleticoMG 3 0 Botafogo
Avai 0 0 Corinthians
AtleticoPR 0 1 Alecrim
AtleticoMG 2 0 Vitoria
Palmeiras 1 0 PontePreta
Botafogo 2 1 Vasco
SantaCruz 1 2 Juventude
SantaCruz 2 0 Santos
Palmeiras 2 1 Fluminense
Bahia 1 0 Alecrim
Fluminense 2 2 Internacional
Guarani 1 2 Vasco
Juventude 1 0 Chapecoense
Nautico 1 1 VilaNova
Cruzeiro 1 2 AtleticoGO
Fluminense 2 0 Criciuma
Corinthians 2 0 Chapecoense
Gremio 1 0 AtleticoGO
Santos 1 1 Corinthians
Palmeiras 2 0 Cruzeiro
Internacional 0 0 Sport
Goias 2 1 Chapecoense
Cruzeiro 1 3 Gremio
Parana 3 1 Flamengo
PontePreta 2 0 Vasco
Internacional 2 2 AmericaRN
Coritiba 1 1 Avai
Criciuma 1 3 Sport
Sport 2 0 SaoPaulo
Gremio 0 2 Corinthians
Criciuma 2 0 Sport
VilaNova 3 0 AmericaRN
AtleticoMG 2 1 Parana
AtleticoPR 2 1 Fluminense
ABC 2 1 Fluminense
Gremio 2 1 Flamengo
Juventude 2 0 Criciuma
AmericaRN 1 0 Nautico
Vasco 1 4 AtleticoGO
Vasco 2 1 Vitoria
Alecrim 1 0 Coritiba
Vitoria 3 0 Alecrim
Bahia 3 1 Parana
Bahia 3 1 Fluminense
Bahia 1 2 Internacional
Vasco 2 0 Juventude
SaoPaulo 1 3 Corinthians
Santos 1 1 AtleticoGO
Coritiba 0 0 AtleticoGO
Criciuma 2 0 Botafogo
AmericaRN 1 0 SantaCruz
Guarani 2 0 Santos
SantaCruz 1 0 Bahia
Sport 1 0 Guarani
Santos 2 0 Internacional
Juventude 2 0 AmericaRN
Corinthians 1 0 Nautico
SaoPaulo 1 0 Vasco
Bahia 1 0 Chapecoense
VilaNova 1 1 Vasco
Nautico 1 3 Vitoria
Palmeiras 2 0 Avai
AmericaRN 1 1 Parana
SaoPaulo 1 2 Coritiba
AtleticoPR 2 2 Gremio
Palmeiras 1 2 Sport
VilaNova 2 1 Avai
Vitoria 0 1 Santos
Avai 1 0 SantaCruz
Avai 3 0 SaoPaulo
Flamengo 1 4 Parana
Nautico 2 0 Fluminense
Cruzeiro 3 1 ABC
Internacional 1 2 Vasco
Flamengo 2 1 Juventude
Vasco 2 0 PontePreta
